firstname,lastname,gender,hobbies,street address,landmark,area,city,state,pincode,country
Abha,Acharya,female,3D printing,Ap #324-5397 Semper Av.,Opposite Wildemarsh,A Narayanapuram,ANANTHAPUR,Andhra Pradesh,515004,India
Abhay,Agarwal,male,Acrobatics,976-5960 Sociosqu St.,Opposite Wintercourt,Akuledu,ANANTHAPUR,Andhra Pradesh,515731,India
Abhilasha,Agate,female,Acting,"P.O. Box 861, 7488 Praesent Avenue",Near Ostcliff,Alamuru,ANANTHAPUR,Andhra Pradesh,515002,India
Adesh,Aggarwal,male,Amateur radio,"P.O. Box 801, 9697 Ante. Av.",Opp. Courtwall,Allapuram,ANANTHAPUR,Andhra Pradesh,515766,India
Adhik,Agrawal,male,Animation,"P.O. Box 541, 9122 Non, St.",Opposite Fairsage,Aluru,ANANTHAPUR,Andhra Pradesh,515415,India
Adhita,Ahluwalia,female,Aquascaping,436-9051 Lorem. Av.,Opposite Shadowmaple,Amidyaya,ANANTHAPUR,Andhra Pradesh,515822,India
Adita,Ahuja,female,Astronomy,"P.O. Box 150, 7646 Sed, Av.",Near Greensummer,Ammaladinne,ANANTHAPUR,Andhra Pradesh,515445,India
Aditi,Amble,female,Baking,"P.O. Box 135, 5967 Lectus, Street",Opposite Osttown,Anantapur Collectorate,ANANTHAPUR,Andhra Pradesh,515001,India
Aditya,Anand,male,Baton twirling,"P.O. Box 957, 2070 Eu Ave",Opposite Aelhurst,Anantapur Engg College,ANANTHAPUR,Andhra Pradesh,515002,India
Agni,Andra,male,Beatboxing,"Ap #106-9892 Non, Avenue",Near Wooddell,Anantapur,ANANTHAPUR,Andhra Pradesh,515001,India
Aishwarya,Anne,female,Blogging,"P.O. Box 540, 2629 Aliquam Ave",After Deercastle,Ankampalli,ANANTHAPUR,Andhra Pradesh,515741,India
Ajay,Apte,male,Building,2727 Risus. Ave,Opp. Greenshore,Anumpalli,ANANTHAPUR,Andhra Pradesh,515775,India
Ajeet,Arora,male,Board/tabletop games,3437 Commodo St.,Near Springfox,Appecharla,ANANTHAPUR,Andhra Pradesh,515455,India
Ajit,Arya,male,Book discussion clubs,938-165 Vitae Avenue,Opp. Lightkeep,Appilepalli,ANANTHAPUR,Andhra Pradesh,515766,India
Ajith,Atwal,male,Book restoration,Ap #852-5889 Facilisis St.,Opposite Pinepond,Arakatavemula,ANANTHAPUR,Andhra Pradesh,515445,India
Akanksha,Aurora,female,Bowling,Ap #223-5225 Euismod Street,After Bluedell,Araveedu,ANANTHAPUR,Andhra Pradesh,515465,India
Akash,Babu,male,Brazilian jiu-jitsu,Ap #276-9059 Luctus Rd.,Opp. Esterash,Aravindanagar,ANANTHAPUR,Andhra Pradesh,515001,India
Akhil,Badal,male,Breadmaking,887-2891 Urna Rd.,Opposite Applecastle,Atmakur(ATP),ANANTHAPUR,Andhra Pradesh,515751,India
Amala,Badami,female,Cabaret,7033 Penatibus Rd.,Opp. Springfalcon,Avuladatla,ANANTHAPUR,Andhra Pradesh,515867,India
Amar,Bahl,male,Calligraphy,695-8943 In Rd.,Opposite Whiteelf,Avulanna,ANANTHAPUR,Andhra Pradesh,515741,India
Ambâ,Bahri,female,Candle making,375-8963 Condimentum. Av.,Opposite Wayhill,Aydukallu,ANANTHAPUR,Andhra Pradesh,515763,India
Amit,Bail,male,Car fixing & building,779-8722 Malesuada Av.,Opposite Foxvale,Ayyagarlapalli,ANANTHAPUR,Andhra Pradesh,515767,India
Amita,Bains,female,Card games,"Ap #931-2356 Purus, Rd.",Opposite Newley,Ayyavaripalli,ANANTHAPUR,Andhra Pradesh,515775,India
Amrit,Bajaj,male,Cheesemaking,"P.O. Box 385, 3830 Molestie Rd.",Opp. Wildespell,Ayyavaripalli,ANANTHAPUR,Andhra Pradesh,515722,India
Amrita,Bajwa,female,Clothesmaking,384-4861 Dapibus Avenue,Opposite Shadowgrass,B.N.Halli,ANANTHAPUR,Andhra Pradesh,515867,India
Anand,Bakshi,male,Coffee roasting,543-5763 Venenatis Av.,Near Woodhollow,B.T.Project,ANANTHAPUR,Andhra Pradesh,515863,India
Ananda,Bal,female,Collecting,Ap #448-9530 Pretium Road,Opp. Ashton,Bandameedapalli,ANANTHAPUR,Andhra Pradesh,515722,India
Ananden,Bala,male,Coloring,9720 Euismod St.,After Springbell,Bandlapalli,ANANTHAPUR,Andhra Pradesh,515425,India
Anandha,Bala,male,Computer programming,"P.O. Box 879, 7937 Vel Road",Opp. Mallowcastle,Basapuram,ANANTHAPUR,Andhra Pradesh,515766,India
Anandi,Balakrishnan,female,Confectionery,3770 Ut Rd.,After Goldwilde,Basinepalli,ANANTHAPUR,Andhra Pradesh,515402,India
Anandita,Balan,female,Cooking,9046 Massa Rd.,After Eriport,Bavarampalli,ANANTHAPUR,Andhra Pradesh,515761,India
Anant,Balasubramanian,male,Cosplaying,Ap #619-879 Nec Street,Near Springfield,Belguppa,ANANTHAPUR,Andhra Pradesh,515741,India
Ananta,Balay,female,Couponing,Ap #351-4740 Velit. Rd.,Opposite Northfield,Belodu,ANANTHAPUR,Andhra Pradesh,515867,India
Ananta-Sesa,Bali,male,Craft,"P.O. Box 514, 3547 Eu Road",Opposite Fielddale,Bestharapalli,ANANTHAPUR,Andhra Pradesh,515766,India
Anantee,Bandi,female,Creative writing,"P.O. Box 889, 2987 Orci, Street",After Shorehall,Bethapalli,ANANTHAPUR,Andhra Pradesh,515402,India
Ananth,Banerjee,male,Crocheting,"P.O. Box 615, 3353 Mauris Ave",Near Mallowhedge,Bhattuvanipalli,ANANTHAPUR,Andhra Pradesh,515787,India
Anantha,Banik,female,Cross-stitch,779-7480 Odio. Avenue,Near Byway,Bhogasamudram,ANANTHAPUR,Andhra Pradesh,515415,India
Anil,Bansal,male,Crossword puzzles,"479-7348 Non, Road",Opposite Estercrest,Bhogasamudram Project,ANANTHAPUR,Andhra Pradesh,515413,India
Anila,Barad,female,Cryptography,661-7446 Hendrerit St.,Opposite Dracborough,Bhupasamudram,ANANTHAPUR,Andhra Pradesh,515867,India
Anima,Barad,female,Cue sports,8498 Aliquam Avenue,Near Deepburn,Bhyrasamudram,ANANTHAPUR,Andhra Pradesh,515767,India
Aniruddha,Baral,male,Dance,"6764 A, Rd.",After Bluedragon,Bollanaguddem,ANANTHAPUR,Andhra Pradesh,515870,India
Anish,Baria,male,Diary writing,7886 Natoque Road,Near Buttermeadow,Bommaganipalli,ANANTHAPUR,Andhra Pradesh,515763,India
Anjali,Barman,female,Digital arts,535-5446 Lorem Street,Opp. Marshfield,Bommakkapalli,ANANTHAPUR,Andhra Pradesh,515867,India
Ankita,Basak,female,Distro Hopping,Ap #544-2092 Nascetur St.,After Raymont,Bommanahal,ANANTHAPUR,Andhra Pradesh,515871,India
Ankur,Bassi,male,Djing,Ap #394-9686 Adipiscing Street,Near Janpond,Bondaladinne,ANANTHAPUR,Andhra Pradesh,515411,India
Antrija,Basu,female,Do it yourself,Ap #868-6494 Euismod Rd.,Opp. Ericliff,Bondalawada,ANANTHAPUR,Andhra Pradesh,515425,India
Anuj,Bath,male,Drama,"281-3214 Nec, St.",Opposite Pinevale,Brahma Samudram,ANANTHAPUR,Andhra Pradesh,515767,India
Anuja,Batra,female,Drawing,7090 In St.,Opp. Eastmarsh,Brahmanapalli,ANANTHAPUR,Andhra Pradesh,515408,India
Anupam,Batta,male,Drink mixing,Ap #700-4361 Vestibulum St.,Near Silverash,Brahmanapalli,ANANTHAPUR,Andhra Pradesh,515401,India
Anupama,Bava,female,Electronics,753-9019 Aliquet Av.,After Corburn,Brahmasamudram,ANANTHAPUR,Andhra Pradesh,515871,India
Aparajita,Bawa,female,Embroidery,"5149 At, Avenue",Opp. Crystalwolf,Bramhanayaleru,ANANTHAPUR,Andhra Pradesh,515002,India
Appassamy,Bedi,female,Experimenting,"P.O. Box 436, 5934 Cursus. Avenue",Opposite Mistmill,Budagavi,ANANTHAPUR,Andhra Pradesh,515812,India
Aradhana,Behl,female,Fantasy sports,Ap #158-5677 Arcu. St.,After Greengate,Budimepalli,ANANTHAPUR,Andhra Pradesh,515763,India
Aravind,Ben,male,Fashion,Ap #874-9862 Vitae St.,Opp. Lightfort,Bukkacherla,ANANTHAPUR,Andhra Pradesh,515002,India
Aravinda,Bera,male,Fashion design,372 Faucibus Street,Opposite Swynston,Bukkarayasamudram,ANANTHAPUR,Andhra Pradesh,515701,India
Archana,Bhagat,female,Fishkeeping,"Ap #369-7032 Vitae, Avenue",Opposite Deerbush,C Bandameedapalli,ANANTHAPUR,Andhra Pradesh,515701,India
Arjun,Bhakta,male,Flower arranging,"P.O. Box 175, 9632 Et Street",After Lormont,Chabala,ANANTHAPUR,Andhra Pradesh,515812,India
Arjuna,Bhalla,male,Foreign language learning,619-5828 Porttitor Street,Near Wolfcliff,Chadam,ANANTHAPUR,Andhra Pradesh,515865,India
Arun,Bhandari,male,Furniture building,Ap #974-6532 Quisque Street,After Raycastle,Chalivemula,ANANTHAPUR,Andhra Pradesh,515414,India
Aruna,Bhardwaj,male,Gaming,2643 Aliquam St.,After Lorhurst,Challavaripalli,ANANTHAPUR,Andhra Pradesh,515411,India
Arundhati,Bhargava,female,Genealogy,811-1449 Ultricies Avenue,After Aldbell,Chamaluru,ANANTHAPUR,Andhra Pradesh,515425,India
Arya,Bhasin,female,Gingerbread house making,"8674 Nec, Ave",Near Stronghaven,Chandana,ANANTHAPUR,Andhra Pradesh,515455,India
Aseem,Bhat,male,Glassblowing,621-8457 Sit St.,Opposite Blackacre,Chapiri,ANANTHAPUR,Andhra Pradesh,515761,India
Asha,Bhatia,female,Graphic design,"P.O. Box 530, 5069 Eu Rd.",Opp. Goldcliff,Chayapuram,ANANTHAPUR,Andhra Pradesh,515842,India
Ashok,Bhatnagar,male,Gunsmithing,Ap #463-3138 Aliquam Av.,After Goldport,Cheekalagurki,ANANTHAPUR,Andhra Pradesh,515812,India
Ashoka,Bhatt,male,Herp keeping,Ap #502-759 Porta Av.,Opp. Seabeach,Cheemalavagupalli,ANANTHAPUR,Andhra Pradesh,515408,India
Avani,Bhattacharyya,female,Home improvement,"P.O. Box 203, 7227 Dolor Rd.",Opposite Glassmerrow,Cheliminahalli,ANANTHAPUR,Andhra Pradesh,515767,India
Avanti,Bhatti,female,Homebrewing,8950 Lobortis Av.,Opp. Byburn,Chennampalli,ANANTHAPUR,Andhra Pradesh,515425,India
Avinash,Bhavsar,male,Hula hooping,4502 Faucibus Av.,Opposite Janfort,Cherlopalli,ANANTHAPUR,Andhra Pradesh,515414,India
Bagavathy,Bir,female,Hydroponics,133-8931 Tincidunt St.,Near Esterhall,Cherlopalli,ANANTHAPUR,Andhra Pradesh,515766,India
Bakula,Biswas,female,Ice skating,"P.O. Box 183, 7518 Ultrices Av.",Opposite Fayedge,Chikkepalli,ANANTHAPUR,Andhra Pradesh,515445,India
Bala,Boase,female,Jewelry making,"P.O. Box 754, 7076 Non Avenue",Near Lightwyvern,Chilamakuru,ANANTHAPUR,Andhra Pradesh,515465,India
Baladeva,Bobal,male,Jigsaw puzzles,Ap #749-1817 Et Rd.,Near Northoak,Chinnampalli,ANANTHAPUR,Andhra Pradesh,515761,India
Baldev,Bora,male,Juggling,"Ap #444-5575 Iaculis, Ave",Opposite Blackbeech,Chinnamusturu,ANANTHAPUR,Andhra Pradesh,515812,India
Bharat,Bora,male,Karaoke,"P.O. Box 701, 5875 Ornare, Street",Opp. Morwick,Chinnapolamada,ANANTHAPUR,Andhra Pradesh,515411,India
Bharata,Borah,male,Karate,290-2057 Malesuada Rd.,Near Vertsilver,Chinnavadugur,ANANTHAPUR,Andhra Pradesh,515405,India
Bhaskar,Borde,male,Kendama,839-7065 Malesuada Av.,Near Southmallow,Chintakayamanda,ANANTHAPUR,Andhra Pradesh,515465,India
Bhaskara,Borra,male,Knife making,"P.O. Box 962, 8040 Ipsum Rd.",Opp. Highwolf,Chintakunta,ANANTHAPUR,Andhra Pradesh,515414,India
Bhavana,Bose,female,Knitting,Ap #963-9399 Vestibulum Street,Opp. Goldden,Chintalacheruvu,ANANTHAPUR,Andhra Pradesh,515455,India
Bhavani,Brahmbhatt,female,Knot tying,1665 Malesuada. St.,Opposite Goldhill,Chintalayalapalli,ANANTHAPUR,Andhra Pradesh,515408,India
Bishen,Brar,male,Kombucha brewing,Ap #376-4538 Nam St.,After Highfield,Chintarlapalli,ANANTHAPUR,Andhra Pradesh,515767,India
Brahma,Buch,male,Lace making,522-6120 Molestie Road,After Moorpond,Chitrachedu,ANANTHAPUR,Andhra Pradesh,515611,India
Brijesh,Buch,male,Lapidary,Ap #655-8181 Curae; St.,Opposite Northfalcon,Chittur,ANANTHAPUR,Andhra Pradesh,515611,India
Brijesha,Bumb,male,Leather crafting,542-424 Venenatis Rd.,Opposite Blueby,Chiyyedu,ANANTHAPUR,Andhra Pradesh,515721,India
Brinda,Butala,female,Lego building,"P.O. Box 477, 4434 Lorem, Rd.",Opposite Deerbarrow,Cholasamudram,ANANTHAPUR,Andhra Pradesh,515711,India
Buddha,Chacko,male,Lock picking,"P.O. Box 973, 4653 Fringilla Avenue",Near Coastton,Chukkalur,ANANTHAPUR,Andhra Pradesh,515415,India
Candravali,Chad,female,Listening to music,"P.O. Box 279, 9025 Id St.",Opposite Silverbush,Danduvaripalli,ANANTHAPUR,Andhra Pradesh,515701,India
Carliaye,Chada,female,Listening to podcasts,208 Dictum Road,Opp. Rosebay,Darga Kondaopuram,ANANTHAPUR,Andhra Pradesh,515865,India
Carma,Chadha,female,Machining,203-5782 Proin Street,Opposite Fayhurst,Dasampalli,ANANTHAPUR,Andhra Pradesh,515765,India
Carpanin,Chahal,male,Macrame,"Ap #390-8325 Aliquet, Ave",After Fairwyn,Devagiri,ANANTHAPUR,Andhra Pradesh,515871,India
Chanda,Chakrabarti,female,Magic,6479 Semper Road,Near Greybank,Devarapalli,ANANTHAPUR,Andhra Pradesh,515775,India
Chandan,Chakraborty,male,Makeup,Ap #976-8448 In Road,Opposite Highwater,Dharmapuri,ANANTHAPUR,Andhra Pradesh,515812,India
Chandana,Chana,female,Metalworking,"P.O. Box 185, 8634 Suspendisse St.",After Bydell,Diguvapalli,ANANTHAPUR,Andhra Pradesh,515414,India
Chander,Chand,male,Model building,413-2258 Et Road,Opp. Clearcliff,Dimmagudi,ANANTHAPUR,Andhra Pradesh,515405,India
Chandi,Chanda,female,Model engineering,"P.O. Box 223, 9077 Vel Street",Opposite Eastshade,Dodagatta,ANANTHAPUR,Andhra Pradesh,515761,India
Chandra,Chander,female,Nail art,Ap #188-1806 Volutpat. Rd.,Near Lightham,Donekal,ANANTHAPUR,Andhra Pradesh,515842,India
Chandrakant,Chandra,male,Needlepoint,5642 Arcu. Rd.,Opp. Crystalsilver,Dosaludiki,ANANTHAPUR,Andhra Pradesh,515803,India
Chandra-Kanta,Chandran,female,Origami,666 Duis Street,Opp. Merrowmarsh,Duddekunta,ANANTHAPUR,Andhra Pradesh,515741,India
Chandrakanta,Char,female,Painting,"P.O. Box 691, 7498 Nisl Street",Near Belhedge,Duggumarri,ANANTHAPUR,Andhra Pradesh,515425,India
Chandraradj,Chatterjee,male,Pet adoption & fostering,5933 Velit Rd.,Near Coldbush,Durdakunta,ANANTHAPUR,Andhra Pradesh,515787,India
Chanemouga,Chaudhari,male,Philately,,,Eddulapalli,ANANTHAPUR,Andhra Pradesh,515775,India
Chanemougam,Chaudhary,male,Photography,,,Edurur,ANANTHAPUR,Andhra Pradesh,515405,India
Chatrapatty,Chaudhry,female,Practical jokes,,,G.Kottala,ANANTHAPUR,Andhra Pradesh,515775,India
Chetan,Chaudhuri,male,Pressed flower craft,,,Gadehothur,ANANTHAPUR,Andhra Pradesh,515832,India
Chetana,Chaudry,female,Playing musical instruments,,,Gadekal,ANANTHAPUR,Andhra Pradesh,515842,India
Chiranjeevi,Chauhan,male,Poi,,,Gajarampalli,ANANTHAPUR,Andhra Pradesh,515775,India
Chiranjivi,Chawla,male,Pottery,,,Gandhibazar (Ananthapur),ANANTHAPUR,Andhra Pradesh,515005,India
Chitra,Cheema,female,Puzzles,,,Gandlaparthi,ANANTHAPUR,Andhra Pradesh,515722,India
Cooldeepac,Cherian,male,Quilling,,,Ganganapalli,ANANTHAPUR,Andhra Pradesh,515425,India
Dalini,Chhabra,female,Quilting,,,Gangavaram,ANANTHAPUR,Andhra Pradesh,515761,India
Damayandi,Chokshi,female,Quizzes,,,Ganigera,ANANTHAPUR,Andhra Pradesh,515871,India
